active_alerts,alert_description,alert_severity,ap_offline,ap_online,ap_total,auth_failures_1h,client_count,site_health_score,site_id,site_name,ssid_count,timestamp,uplink_quality
0,,none,0,16,16,0,161,86,SITE-BR-01,Branch — Sukhumvit,3,2026-05-15T15:00:00Z,good
0,,none,0,16,16,2,157,87,SITE-BR-02,Branch — Silom,3,2026-05-15T15:00:00Z,good
0,,none,1,11,12,2,118,94,SITE-BR-03,Branch — Chatuchak,3,2026-05-15T15:00:00Z,good
0,,none,0,12,12,1,121,89,SITE-BR-04,Branch — Ladprao,3,2026-05-15T15:00:00Z,good
0,,none,0,12,12,1,123,99,SITE-DC-01,Data Centre — Wing A,2,2026-05-15T15:00:00Z,good
0,,none,0,12,12,2,118,97,SITE-DC-02,Data Centre — Wing B,2,2026-05-15T15:00:00Z,good
0,,none,0,24,24,1,241,97,SITE-HQ-01,Bangkok HQ — Floor 1,4,2026-05-15T15:00:00Z,good
0,,none,0,24,24,0,243,93,SITE-HQ-02,Bangkok HQ — Floor 2,4,2026-05-15T15:00:00Z,good
0,,none,0,24,24,0,241,95,SITE-HQ-03,Bangkok HQ — Floor 3,4,2026-05-15T15:00:00Z,good
0,,none,0,20,20,1,200,92,SITE-HQ-04,Bangkok HQ — Floor 4,4,2026-05-15T15:00:00Z,good
0,,none,0,8,8,2,77,93,SITE-WH-01,Warehouse — Lat Krabang,2,2026-05-15T15:00:00Z,good
0,,none,0,8,8,1,82,83,SITE-WH-02,Warehouse — Bang Na,2,2026-05-15T15:00:00Z,good
0,,none,0,16,16,1,163,90,SITE-BR-01,Branch — Sukhumvit,3,2026-05-15T16:00:00Z,good
0,,none,0,16,16,0,160,86,SITE-BR-02,Branch — Silom,3,2026-05-15T16:00:00Z,good
0,,none,0,12,12,1,122,91,SITE-BR-03,Branch — Chatuchak,3,2026-05-15T16:00:00Z,good
0,,none,0,12,12,0,117,89,SITE-BR-04,Branch — Ladprao,3,2026-05-15T16:00:00Z,good
0,,none,0,12,12,1,120,99,SITE-DC-01,Data Centre — Wing A,2,2026-05-15T16:00:00Z,good
0,,none,0,12,12,2,120,96,SITE-DC-02,Data Centre — Wing B,2,2026-05-15T16:00:00Z,good
0,,none,0,24,24,1,238,97,SITE-HQ-01,Bangkok HQ — Floor 1,4,2026-05-15T16:00:00Z,good
0,,none,0,24,24,3,238,92,SITE-HQ-02,Bangkok HQ — Floor 2,4,2026-05-15T16:00:00Z,good
0,,none,0,24,24,0,240,96,SITE-HQ-03,Bangkok HQ — Floor 3,4,2026-05-15T16:00:00Z,good
0,,none,0,20,20,3,197,89,SITE-HQ-04,Bangkok HQ — Floor 4,4,2026-05-15T16:00:00Z,good
