site_id,site_name,timestamp,site_health_score,ap_total,ap_online,ap_offline,client_count,auth_failures_1h,active_alerts,alert_severity,alert_description,ssid_count,uplink_quality
SITE-BR-01,Branch — Sukhumvit,2026-04-30T11:00:00Z,86,16,16,0,161,0,0,none,,3,good
SITE-BR-02,Branch — Silom,2026-04-30T11:00:00Z,87,16,16,0,157,2,0,none,,3,good
SITE-BR-03,Branch — Chatuchak,2026-04-30T11:00:00Z,94,12,11,1,118,2,0,none,,3,good
SITE-BR-04,Branch — Ladprao,2026-04-30T11:00:00Z,89,12,12,0,121,1,0,none,,3,good
SITE-DC-01,Data Centre — Wing A,2026-04-30T11:00:00Z,99,12,12,0,123,1,0,none,,2,good
SITE-DC-02,Data Centre — Wing B,2026-04-30T11:00:00Z,97,12,12,0,118,2,0,none,,2,good
SITE-HQ-01,Bangkok HQ — Floor 1,2026-04-30T11:00:00Z,97,24,24,0,241,1,0,none,,4,good
SITE-HQ-02,Bangkok HQ — Floor 2,2026-04-30T11:00:00Z,93,24,24,0,243,0,0,none,,4,good
SITE-HQ-03,Bangkok HQ — Floor 3,2026-04-30T11:00:00Z,95,24,24,0,241,0,0,none,,4,good
SITE-HQ-04,Bangkok HQ — Floor 4,2026-04-30T11:00:00Z,92,20,20,0,200,1,0,none,,4,good
SITE-WH-01,Warehouse — Lat Krabang,2026-04-30T11:00:00Z,93,8,8,0,77,2,0,none,,2,good
SITE-WH-02,Warehouse — Bang Na,2026-04-30T11:00:00Z,83,8,8,0,82,1,0,none,,2,good
SITE-BR-01,Branch — Sukhumvit,2026-04-30T12:00:00Z,90,16,16,0,163,1,0,none,,3,good
SITE-BR-02,Branch — Silom,2026-04-30T12:00:00Z,86,16,16,0,160,0,0,none,,3,good
SITE-BR-03,Branch — Chatuchak,2026-04-30T12:00:00Z,91,12,12,0,122,1,0,none,,3,good
SITE-BR-04,Branch — Ladprao,2026-04-30T12:00:00Z,89,12,12,0,117,0,0,none,,3,good
SITE-DC-01,Data Centre — Wing A,2026-04-30T12:00:00Z,99,12,12,0,120,1,0,none,,2,good
SITE-DC-02,Data Centre — Wing B,2026-04-30T12:00:00Z,96,12,12,0,120,2,0,none,,2,good
SITE-HQ-01,Bangkok HQ — Floor 1,2026-04-30T12:00:00Z,97,24,24,0,238,1,0,none,,4,good
SITE-HQ-02,Bangkok HQ — Floor 2,2026-04-30T12:00:00Z,92,24,24,0,238,3,0,none,,4,good
SITE-HQ-03,Bangkok HQ — Floor 3,2026-04-30T12:00:00Z,96,24,24,0,240,0,0,none,,4,good
SITE-HQ-04,Bangkok HQ — Floor 4,2026-04-30T12:00:00Z,89,20,20,0,197,3,0,none,,4,good
SITE-WH-01,Warehouse — Lat Krabang,2026-04-30T12:00:00Z,89,8,8,0,78,1,0,none,,2,good
SITE-WH-02,Warehouse — Bang Na,2026-04-30T12:00:00Z,85,8,8,0,78,2,0,none,,2,good
