active_alerts,alert_description,alert_severity,ap_offline,ap_online,ap_total,auth_failures_1h,client_count,site_health_score,site_id,site_name,ssid_count,timestamp,uplink_quality
0,,none,0,16,16,0,165,85,SITE-BR-01,Branch — Sukhumvit,3,2026-05-22T12:55:51Z,good
0,,none,0,16,16,3,149,82,SITE-BR-02,Branch — Silom,3,2026-05-22T12:55:51Z,good
0,,none,0,12,12,0,116,87,SITE-BR-03,Branch — Chatuchak,3,2026-05-22T12:55:51Z,good
0,,none,0,12,12,0,125,82,SITE-BR-04,Branch — Ladprao,3,2026-05-22T12:55:51Z,good
0,,none,0,12,12,3,119,99,SITE-DC-01,Data Centre — Wing A,2,2026-05-22T12:55:51Z,good
0,,none,0,12,12,3,112,99,SITE-DC-02,Data Centre — Wing B,2,2026-05-22T12:55:51Z,good
0,,none,0,24,24,1,254,92,SITE-HQ-01,Bangkok HQ — Floor 1,4,2026-05-22T12:55:51Z,good
0,,none,0,24,24,0,264,88,SITE-HQ-02,Bangkok HQ — Floor 2,4,2026-05-22T12:55:51Z,good
0,,none,0,24,24,0,249,92,SITE-HQ-03,Bangkok HQ — Floor 3,4,2026-05-22T12:55:51Z,good
0,,none,0,20,20,1,206,86,SITE-HQ-04,Bangkok HQ — Floor 4,4,2026-05-22T12:55:51Z,good
0,,none,0,8,8,3,78,89,SITE-WH-01,Warehouse — Lat Krabang,2,2026-05-22T12:55:51Z,good
0,,none,0,8,8,1,78,75,SITE-WH-02,Warehouse — Bang Na,2,2026-05-22T12:55:51Z,good
0,,none,0,16,16,3,157,86,SITE-BR-01,Branch — Sukhumvit,3,2026-05-22T12:55:51Z,good
0,,none,0,16,16,2,152,79,SITE-BR-02,Branch — Silom,3,2026-05-22T12:55:51Z,good
0,,none,0,12,12,1,109,90,SITE-BR-03,Branch — Chatuchak,3,2026-05-22T12:55:51Z,good
0,,none,0,12,12,1,127,84,SITE-BR-04,Branch — Ladprao,3,2026-05-22T12:55:51Z,good
0,,none,0,12,12,3,108,95,SITE-DC-01,Data Centre — Wing A,2,2026-05-22T12:55:51Z,good
0,,none,0,12,12,1,120,95,SITE-DC-02,Data Centre — Wing B,2,2026-05-22T12:55:51Z,good
0,,none,0,24,24,1,254,94,SITE-HQ-01,Bangkok HQ — Floor 1,4,2026-05-22T12:55:51Z,good
0,,none,0,24,24,0,218,91,SITE-HQ-02,Bangkok HQ — Floor 2,4,2026-05-22T12:55:51Z,good
0,,none,0,24,24,3,259,90,SITE-HQ-03,Bangkok HQ — Floor 3,4,2026-05-22T12:55:51Z,good
0,,none,0,20,20,0,220,82,SITE-HQ-04,Bangkok HQ — Floor 4,4,2026-05-22T12:55:51Z,good
0,,none,0,8,8,0,75,90,SITE-WH-01,Warehouse — Lat Krabang,2,2026-05-22T12:55:51Z,good
0,,none,0,8,8,1,77,75,SITE-WH-02,Warehouse — Bang Na,2,2026-05-22T12:55:51Z,good
0,,none,0,16,16,0,167,83,SITE-BR-01,Branch — Sukhumvit,3,2026-05-22T12:55:51Z,good
0,,none,0,16,16,3,167,78,SITE-BR-02,Branch — Silom,3,2026-05-22T12:55:51Z,good
0,,none,0,12,12,1,117,91,SITE-BR-03,Branch — Chatuchak,3,2026-05-22T12:55:51Z,good
0,,none,0,12,12,2,111,84,SITE-BR-04,Branch — Ladprao,3,2026-05-22T12:55:51Z,good
0,,none,0,12,12,1,118,98,SITE-DC-01,Data Centre — Wing A,2,2026-05-22T12:55:51Z,good
0,,none,0,12,12,3,133,96,SITE-DC-02,Data Centre — Wing B,2,2026-05-22T12:55:51Z,good
0,,none,0,24,24,2,229,92,SITE-HQ-01,Bangkok HQ — Floor 1,4,2026-05-22T12:55:51Z,good
0,,none,0,24,24,2,230,93,SITE-HQ-02,Bangkok HQ — Floor 2,4,2026-05-22T12:55:51Z,good
0,,none,0,24,24,1,239,90,SITE-HQ-03,Bangkok HQ — Floor 3,4,2026-05-22T12:55:51Z,good
0,,none,0,20,20,0,198,87,SITE-HQ-04,Bangkok HQ — Floor 4,4,2026-05-22T12:55:51Z,good
0,,none,0,8,8,3,79,87,SITE-WH-01,Warehouse — Lat Krabang,2,2026-05-22T12:55:51Z,good
0,,none,0,8,8,3,74,77,SITE-WH-02,Warehouse — Bang Na,2,2026-05-22T12:55:51Z,good
0,,none,0,16,16,1,162,80,SITE-BR-01,Branch — Sukhumvit,3,2026-05-22T12:55:51Z,good
0,,none,0,16,16,3,160,82,SITE-BR-02,Branch — Silom,3,2026-05-22T12:55:51Z,good
0,,none,0,12,12,1,130,90,SITE-BR-03,Branch — Chatuchak,3,2026-05-22T12:55:51Z,good
0,,none,0,12,12,3,119,82,SITE-BR-04,Branch — Ladprao,3,2026-05-22T12:55:51Z,good
0,,none,0,12,12,3,129,96,SITE-DC-01,Data Centre — Wing A,2,2026-05-22T12:55:51Z,good
0,,none,0,12,12,2,114,94,SITE-DC-02,Data Centre — Wing B,2,2026-05-22T12:55:51Z,good
0,,none,0,24,24,0,232,92,SITE-HQ-01,Bangkok HQ — Floor 1,4,2026-05-22T12:55:51Z,good
0,,none,0,24,24,2,259,91,SITE-HQ-02,Bangkok HQ — Floor 2,4,2026-05-22T12:55:51Z,good
0,,none,0,24,24,2,224,96,SITE-HQ-03,Bangkok HQ — Floor 3,4,2026-05-22T12:55:51Z,good
0,,none,0,20,20,1,206,85,SITE-HQ-04,Bangkok HQ — Floor 4,4,2026-05-22T12:55:51Z,good
0,,none,0,8,8,1,89,86,SITE-WH-01,Warehouse — Lat Krabang,2,2026-05-22T12:55:51Z,good
0,,none,0,8,8,3,77,75,SITE-WH-02,Warehouse — Bang Na,2,2026-05-22T12:55:51Z,good
0,,none,0,16,16,3,160,83,SITE-BR-01,Branch — Sukhumvit,3,2026-05-22T12:55:51Z,good
0,,none,0,16,16,3,152,79,SITE-BR-02,Branch — Silom,3,2026-05-22T12:55:51Z,good
0,,none,0,12,12,3,130,91,SITE-BR-03,Branch — Chatuchak,3,2026-05-22T12:55:51Z,good
0,,none,0,12,12,1,130,82,SITE-BR-04,Branch — Ladprao,3,2026-05-22T12:55:51Z,good
0,,none,0,12,12,2,125,96,SITE-DC-01,Data Centre — Wing A,2,2026-05-22T12:55:51Z,good
0,,none,0,12,12,3,133,94,SITE-DC-02,Data Centre — Wing B,2,2026-05-22T12:55:51Z,good
0,,none,0,24,24,3,263,90,SITE-HQ-01,Bangkok HQ — Floor 1,4,2026-05-22T12:55:51Z,good
0,,none,0,24,24,2,256,90,SITE-HQ-02,Bangkok HQ — Floor 2,4,2026-05-22T12:55:51Z,good
0,,none,0,24,24,2,222,91,SITE-HQ-03,Bangkok HQ — Floor 3,4,2026-05-22T12:55:51Z,good
0,,none,0,20,20,3,183,82,SITE-HQ-04,Bangkok HQ — Floor 4,4,2026-05-22T12:55:51Z,good
0,,none,0,8,8,3,80,88,SITE-WH-01,Warehouse — Lat Krabang,2,2026-05-22T12:55:51Z,good
0,,none,0,8,8,1,84,79,SITE-WH-02,Warehouse — Bang Na,2,2026-05-22T12:55:51Z,good
0,,none,0,16,16,3,147,81,SITE-BR-01,Branch — Sukhumvit,3,2026-05-22T12:55:51Z,good
0,,none,1,15,16,1,176,77,SITE-BR-02,Branch — Silom,3,2026-05-22T12:55:51Z,good
0,,none,0,12,12,3,113,89,SITE-BR-03,Branch — Chatuchak,3,2026-05-22T12:55:51Z,good
0,,none,0,12,12,1,121,79,SITE-BR-04,Branch — Ladprao,3,2026-05-22T12:55:51Z,good
0,,none,0,12,12,0,116,98,SITE-DC-01,Data Centre — Wing A,2,2026-05-22T12:55:51Z,good
0,,none,0,12,12,1,116,97,SITE-DC-02,Data Centre — Wing B,2,2026-05-22T12:55:51Z,good
0,,none,0,24,24,3,246,95,SITE-HQ-01,Bangkok HQ — Floor 1,4,2026-05-22T12:55:51Z,good
0,,none,0,24,24,1,220,92,SITE-HQ-02,Bangkok HQ — Floor 2,4,2026-05-22T12:55:51Z,good
0,,none,0,24,24,2,223,93,SITE-HQ-03,Bangkok HQ — Floor 3,4,2026-05-22T12:55:51Z,good
0,,none,0,20,20,0,201,88,SITE-HQ-04,Bangkok HQ — Floor 4,4,2026-05-22T12:55:51Z,good
0,,none,0,8,8,1,87,92,SITE-WH-01,Warehouse — Lat Krabang,2,2026-05-22T12:55:51Z,good
0,,none,0,8,8,0,83,77,SITE-WH-02,Warehouse — Bang Na,2,2026-05-22T12:55:51Z,good
0,,none,0,16,16,2,154,84,SITE-BR-01,Branch — Sukhumvit,3,2026-05-22T12:55:51Z,good
0,,none,0,16,16,3,165,83,SITE-BR-02,Branch — Silom,3,2026-05-22T12:55:51Z,good
0,,none,0,12,12,0,131,86,SITE-BR-03,Branch — Chatuchak,3,2026-05-22T12:55:51Z,good
0,,none,0,12,12,0,124,80,SITE-BR-04,Branch — Ladprao,3,2026-05-22T12:55:51Z,good
0,,none,0,12,12,3,128,94,SITE-DC-01,Data Centre — Wing A,2,2026-05-22T12:55:51Z,good
0,,none,0,12,12,1,133,94,SITE-DC-02,Data Centre — Wing B,2,2026-05-22T12:55:51Z,good
0,,none,0,24,24,1,265,93,SITE-HQ-01,Bangkok HQ — Floor 1,4,2026-05-22T12:55:51Z,good
0,,none,0,24,24,0,250,92,SITE-HQ-02,Bangkok HQ — Floor 2,4,2026-05-22T12:55:51Z,good
0,,none,0,24,24,1,262,95,SITE-HQ-03,Bangkok HQ — Floor 3,4,2026-05-22T12:55:51Z,good
0,,none,0,20,20,0,214,88,SITE-HQ-04,Bangkok HQ — Floor 4,4,2026-05-22T12:55:51Z,good
0,,none,0,8,8,1,75,87,SITE-WH-01,Warehouse — Lat Krabang,2,2026-05-22T12:55:51Z,good
0,,none,0,8,8,1,74,79,SITE-WH-02,Warehouse — Bang Na,2,2026-05-22T12:55:51Z,good
0,,none,0,16,16,0,164,86,SITE-BR-01,Branch — Sukhumvit,3,2026-05-22T12:55:51Z,good
