active_alerts,alert_description,alert_severity,ap_offline,ap_online,ap_total,auth_failures_1h,client_count,site_health_score,site_id,site_name,ssid_count,timestamp,uplink_quality
0,,none,0,24,24,0,237,97,SITE-HQ-01,Bangkok HQ — Floor 1,4,2026-05-22T13:05:51Z,good
0,,none,0,24,24,1,239,95,SITE-HQ-02,Bangkok HQ — Floor 2,4,2026-05-22T13:05:51Z,good
0,,none,0,24,24,0,238,94,SITE-HQ-03,Bangkok HQ — Floor 3,4,2026-05-22T13:05:51Z,good
0,,none,0,20,20,0,202,91,SITE-HQ-04,Bangkok HQ — Floor 4,4,2026-05-22T13:05:51Z,good
0,,none,0,12,12,0,120,99,SITE-DC-01,Data Centre — Wing A,2,2026-05-22T13:05:51Z,good
0,,none,0,12,12,1,117,97,SITE-DC-02,Data Centre — Wing B,2,2026-05-22T13:05:51Z,good
0,,none,0,16,16,0,161,87,SITE-BR-01,Branch — Sukhumvit,3,2026-05-22T13:05:51Z,good
0,,none,0,16,16,3,158,87,SITE-BR-02,Branch — Silom,3,2026-05-22T13:05:51Z,good
0,,none,0,12,12,2,120,91,SITE-BR-03,Branch — Chatuchak,3,2026-05-22T13:05:51Z,good
0,,none,0,12,12,1,123,86,SITE-BR-04,Branch — Ladprao,3,2026-05-22T13:05:51Z,good
0,,none,0,8,8,2,80,92,SITE-WH-01,Warehouse — Lat Krabang,2,2026-05-22T13:05:51Z,good
0,,none,0,8,8,1,78,84,SITE-WH-02,Warehouse — Bang Na,2,2026-05-22T13:05:51Z,good
