active_alerts,alert_description,alert_severity,ap_offline,ap_online,ap_total,auth_failures_1h,client_count,site_health_score,site_id,site_name,ssid_count,timestamp,uplink_quality
0,,none,0,24,24,3,242,96,SITE-HQ-01,Bangkok HQ — Floor 1,4,2026-05-22T13:35:51Z,good
0,,none,0,24,24,1,239,93,SITE-HQ-02,Bangkok HQ — Floor 2,4,2026-05-22T13:35:51Z,good
0,,none,0,24,24,2,242,94,SITE-HQ-03,Bangkok HQ — Floor 3,4,2026-05-22T13:35:51Z,good
0,,none,0,20,20,3,201,91,SITE-HQ-04,Bangkok HQ — Floor 4,4,2026-05-22T13:35:51Z,good
0,,none,0,12,12,2,120,99,SITE-DC-01,Data Centre — Wing A,2,2026-05-22T13:35:51Z,good
0,,none,0,12,12,3,118,97,SITE-DC-02,Data Centre — Wing B,2,2026-05-22T13:35:51Z,good
1,Degraded uplink — monitoring,warning,1,15,16,4,107,65,SITE-BR-01,Branch — Sukhumvit,3,2026-05-22T13:35:51Z,fair
1,Multiple APs offline — power issue suspected,critical,3,13,16,17,54,47,SITE-BR-02,Branch — Silom,3,2026-05-22T13:35:51Z,fair
0,,none,0,12,12,0,120,93,SITE-BR-03,Branch — Chatuchak,3,2026-05-22T13:35:51Z,good
0,,none,0,12,12,3,120,87,SITE-BR-04,Branch — Ladprao,3,2026-05-22T13:35:51Z,good
0,,none,0,8,8,0,79,92,SITE-WH-01,Warehouse — Lat Krabang,2,2026-05-22T13:35:51Z,good
0,,none,0,8,8,0,82,85,SITE-WH-02,Warehouse — Bang Na,2,2026-05-22T13:35:51Z,good
