active_alerts,alert_description,alert_severity,ap_offline,ap_online,ap_total,auth_failures_1h,client_count,site_health_score,site_id,site_name,ssid_count,timestamp,uplink_quality
0,,none,0,24,24,3,238,96,SITE-HQ-01,Bangkok HQ — Floor 1,4,2026-05-22T14:25:51Z,good
0,,none,0,24,24,3,238,93,SITE-HQ-02,Bangkok HQ — Floor 2,4,2026-05-22T14:25:51Z,good
0,,none,0,24,24,2,240,94,SITE-HQ-03,Bangkok HQ — Floor 3,4,2026-05-22T14:25:51Z,good
0,,none,0,20,20,3,199,90,SITE-HQ-04,Bangkok HQ — Floor 4,4,2026-05-22T14:25:51Z,good
0,,none,0,12,12,3,122,99,SITE-DC-01,Data Centre — Wing A,2,2026-05-22T14:25:51Z,good
0,,none,0,12,12,2,118,97,SITE-DC-02,Data Centre — Wing B,2,2026-05-22T14:25:51Z,good
1,Recovered — post-incident monitoring,info,0,16,16,0,157,82,SITE-BR-01,Branch — Sukhumvit,3,2026-05-22T14:25:51Z,good
1,Almost recovered — 1 AP pending,warning,1,15,16,4,103,67,SITE-BR-02,Branch — Silom,3,2026-05-22T14:25:51Z,fair
0,,none,0,12,12,3,121,91,SITE-BR-03,Branch — Chatuchak,3,2026-05-22T14:25:51Z,good
0,,none,0,12,12,1,123,88,SITE-BR-04,Branch — Ladprao,3,2026-05-22T14:25:51Z,good
0,,none,0,8,8,0,81,90,SITE-WH-01,Warehouse — Lat Krabang,2,2026-05-22T14:25:51Z,good
0,,none,0,8,8,0,77,83,SITE-WH-02,Warehouse — Bang Na,2,2026-05-22T14:25:51Z,good
