active_alerts,alert_description,alert_severity,ap_offline,ap_online,ap_total,auth_failures_1h,client_count,site_health_score,site_id,site_name,ssid_count,timestamp,uplink_quality
0,,none,0,24,24,1,243,97,SITE-HQ-01,Bangkok HQ — Floor 1,4,2026-05-22T14:35:51Z,good
0,,none,0,24,24,1,237,94,SITE-HQ-02,Bangkok HQ — Floor 2,4,2026-05-22T14:35:51Z,good
0,,none,0,24,24,0,241,96,SITE-HQ-03,Bangkok HQ — Floor 3,4,2026-05-22T14:35:51Z,good
0,,none,0,20,20,3,197,91,SITE-HQ-04,Bangkok HQ — Floor 4,4,2026-05-22T14:35:51Z,good
0,,none,0,12,12,2,121,99,SITE-DC-01,Data Centre — Wing A,2,2026-05-22T14:35:51Z,good
0,,none,0,12,12,2,118,98,SITE-DC-02,Data Centre — Wing B,2,2026-05-22T14:35:51Z,good
0,,none,0,16,16,3,159,87,SITE-BR-01,Branch — Sukhumvit,3,2026-05-22T14:35:51Z,good
1,Fully recovered — post-incident monitoring,info,0,16,16,2,162,82,SITE-BR-02,Branch — Silom,3,2026-05-22T14:35:51Z,good
0,,none,0,12,12,0,119,92,SITE-BR-03,Branch — Chatuchak,3,2026-05-22T14:35:51Z,good
0,,none,0,12,12,0,120,86,SITE-BR-04,Branch — Ladprao,3,2026-05-22T14:35:51Z,good
0,,none,0,8,8,1,81,90,SITE-WH-01,Warehouse — Lat Krabang,2,2026-05-22T14:35:51Z,good
0,,none,0,8,8,1,79,85,SITE-WH-02,Warehouse — Bang Na,2,2026-05-22T14:35:51Z,good
